cgpa,iq
6.7,93
6.44,94
6.76,99
7.11,98
6.41,79
6.41,82
7.13,94
6.81,94
6.31,94
6.72,121
6.31,95
6.31,99
6.6,98
5.73,95
5.81,87
6.28,96
6.09,84
6.63,88
6.14,86
5.94,91
7.09,109
6.41,75
6.53,95
5.93,77
6.28,86
6.54,99
6.04,91
6.65,81
6.26,84
6.38,95
6.26,84
7.24,92
6.49,90
6.08,85
6.83,107
6.01,95
6.58,74
5.72,91
5.97,85
6.58,97
6.8,84
6.57,89
6.45,94
6.38,97
5.91,80
6.21,87
6.32,86
6.92,85
6.64,104
5.79,93
7.63,96
7.35,111
7.23,120
7.74,112
7.91,94
7.87,102
7.16,114
7.38,100
7.63,108
7.89,110
7.31,99
7.43,105
7.06,82
7.02,98
7.83,103
8.04,96
7.47,116
7.9,95
7.64,102
7.24,106
7.64,115
8.12,95
7.49,113
8.13,105
6.45,98
7.83,108
7.53,106
7.38,101
7.54,105
6.7,102
7.41,106
7.64,110
8.09,116
7.29,96
7.18,120
7.3,91
7.87,104
7.63,109
7.29,107
7.71,101
7.54,104
7.89,102
7.22,101
7.37,111
7.34,107
6.91,100
7.62,111
7.6,107
7.5,111
7.41,109
8.08,115
8.37,117
8.4,124
8.26,124
8.45,120
8.62,121
9.07,128
8.55,116
8.58,123
8.48,119
7.92,119
8.49,127
8.52,125
9.24,125
8.44,128
8.59,120
8.49,124
8.15,118
8.84,122
8.73,119
8.74,121
8.23,124
8.92,115
8.08,133
8.68,114
9.16,113
8.2,127
8.33,125
8.53,124
8.35,124
8.03,120
8.52,115
8.18,120
8.64,116
8.22,126
8.96,119
8.27,115
8.4,118
8.74,122
8.13,117
8.57,115
8.89,121
8.02,121
8.56,117
8.58,117
8.73,121
8.13,111
8.1,112
8.66,116
8.59,119
9.25,137
9.27,142
9.06,139
9.25,134
9.26,135
9.06,130
9.57,135
9.29,134
8.96,137
9.33,131
9.01,138
9.36,143
9.43,134
9.04,137
9.39,138
9.28,133
9.36,136
9.58,135
9.15,135
9.05,131
9.02,135
9.04,137
9.18,142
9.27,140
9.26,146
9.37,131
9.2,139
9.49,136
9.15,146
9.74,131
9.33,131
9.03,132
8.99,124
9.3,132
9.16,131
9.34,136
9.29,137
9.19,144
9.03,140
8.9,132
9.11,131
9.37,137
9.24,128
8.95,144
9.23,141
9.28,133
9.02,126
9.23,142
9.21,134
8.97,141
